id,name,location,address,opening_time,closing_time,dine_in,delivery,pickup
134,ZUS Coffee – Sungei Wang Plaza,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
135,ZUS Coffee – Universiti Kebangsaan Malaysia (Bangunan Pusanika),Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
136,"ZUS Coffee – Tower 8, Horizon 2, Bangsar South",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
137,ZUS Coffee – Eco Sky,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
138,ZUS Coffee – Berjaya Times Square,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
139,ZUS Coffee – Alamanda Putrajaya,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
140,ZUS Coffee – INTI International College Subang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
141,ZUS Coffee – Bandar Country Homes Rawang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
142,ZUS Coffee – Melawati Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
143,ZUS Coffee – IOI Boulevard,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
144,ZUS Coffee – Pekan Meru,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
145,ZUS Coffee – Desa Petaling,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
146,ZUS Coffee – Jade Hills Kajang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
147,ZUS Coffee – Bandar Tasik Puteri,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
148,ZUS Coffee – Bandar Sunway,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
149,ZUS Coffee – Cheras Leisure Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
150,ZUS Coffee – Pearl Point Shopping Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
151,ZUS Coffee – Empire Shopping Gallery,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
152,ZUS Coffee – CALTEX Sungai Choh,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
153,ZUS Coffee – Teluk Pulai,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
154,ZUS Coffee – PJ New Town,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
155,ZUS Coffee – KSL Esplanade Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
156,ZUS Coffee – Da Men Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
157,ZUS Coffee – University of Malaya,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
158,ZUS Coffee – University of Nottingham,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
159,ZUS Coffee – Suria KLCC,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
160,ZUS Coffee – KL Gateway,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
161,ZUS Coffee – AEON Mall Wangsa Maju Alpha Angle,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
162,ZUS Coffee – KLIA 1 Departure Hall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
163,ZUS Coffee – M3 Shopping Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
164,ZUS Coffee – Xiamen University Malaysia,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
165,ZUS Coffee – Skypark Terminal,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
166,ZUS Coffee – Jaya One Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
167,ZUS Coffee – AEON Mall Metro Prima Kepong,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
168,ZUS Coffee – Taman Bukit Anggerik,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
169,ZUS Coffee – AEON Mall Taman Maluri,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
170,ZUS Coffee – AEON Mall Bukit Raja,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
171,ZUS Coffee – Taman Desa Setapak,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
172,ZUS Coffee – Taman Kosas,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
173,ZUS Coffee – Putrajaya Presint 15,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
174,ZUS Coffee – Bandar Sungai Long,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
175,ZUS Coffee – Quayside Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
176,ZUS Coffee – MYDIN USJ Subang Jaya,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
177,ZUS Coffee – Temu @ City Of Elmina,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
178,ZUS Coffee – BMC Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
179,ZUS Coffee – Nu Sentral Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
180,ZUS Coffee – Pandan Indah,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
181,ZUS Coffee – Majestic Maxim Residensi Tmn Bkt Cheras,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
182,ZUS Coffee – Quill City Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
183,ZUS Coffee – IOI City Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
184,"ZUS Coffee – Megah Rise Mall, PJ",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
185,ZUS Coffee – BHP Jalan Maarof,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
186,ZUS Coffee – The FLO Bandar Sri Damansara,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
187,ZUS Coffee – AEON Mall Taman Equine Shopping Centre,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
188,ZUS Coffee – Puncak Jalil,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
189,ZUS Coffee – Banting,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
190,ZUS Coffee – AEON Mall Shah Alam,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
191,ZUS Coffee – Datum Jelatek Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
192,"ZUS Coffee – Taman Tas, Kuantan",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
193,ZUS Coffee – Antara Gapi,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
194,ZUS Coffee – Shah Alam Seksyen 14 (Vista Alam),Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
195,ZUS Coffee – Bandar Saujana Putra,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
196,ZUS Coffee – CALTEX Temiang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
197,ZUS Coffee – SB Mall Sungai Buloh,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
198,ZUS Coffee – Subang Bestari,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
199,ZUS Coffee – Setia City Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
200,ZUS Coffee – Batang Kali,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
201,MENARA WORLDWIDE,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
202,PUTRA HEIGHTS,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
203,1 UTAMA SHOPPING CENTRE,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
204,SAUJANA UTAMA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
205,DENAI ALAM,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
206,BANDAR SERI COALFIELDS,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
207,TROPICANA GARDENS MALL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
208,LAKEFIELDS TRILLIUM,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
209,"TAMAN SRI SERDANG, SERI KEMBANGAN",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
210,IOI CONEZION,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
211,STARLING MALL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
212,SUBANG PERDANA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
213,BANDAR SERI PUTRA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
214,SENTUL POINT,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
215,AMPANG SPECTRUM MALL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
216,"ZUS Coffee – DPulze Shopping Centre, Cyberjaya",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
217,KOTA DAMANSARA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
218,ATRIA SHOPPING GALLERY,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
219,BUKIT SENTOSA,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
220,KOTA WARISAN,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
221,SHAH ALAM SEKSYEN 13,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
222,"ZUS Coffee – Sunway Gandaria, Bangi",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
223,RAWANG REEF,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
